%tL is: 57.00
%tH is: 58.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
36.19          1          60081
37.12          1          60114
36.19          1          60149
36.19          1          60183
36.19          1          60218
36.19          1          60252
36.19          1          60286
36.19          1          60320
36.19          1          60355
36.19          1          60389
36.19          1          60424
36.19          1          60457
36.19          1          60492
36.19          1          60526
36.19          1          60561
36.19          1          60595
36.19          1          60630
36.19          1          60663
36.19          1          60698
36.34          1          60732
36.34          1          60767
36.39          1          60801
36.58          1          60835
36.58          1          60869
36.68          1          60904
36.68          1          60938
36.68          1          60973
36.68          1          61007
36.68          1          61041
36.68          1          61076
36.68          1          61110
36.68          1          61145
36.68          1          61178
36.78          1          61213
36.83          1          61247
37.12          1          61282
37.12          1          61316
37.17          1          61350
37.17          1          61384
37.17          1          61419
37.17          1          61453
37.17          1          61488
37.17          1          61521
37.17          1          61556
37.22          1          61590
37.22          1          61625
37.56          1          61659
37.56          1          61693
37.66          1          61727
37.66          1          61762
37.66          1          61796
37.66          1          61831
37.66          1          61864
37.66          1          61899
37.66          1          61933
37.71          1          61968
37.80          1          62002
38.00          1          62036
37.90          1          62071
38.15          1          62105
38.15          1          62140
38.15          1          62174
38.15          1          62209
38.15          1          62242
38.15          1          62277
38.15          1          62311
38.15          1          62346
38.39          1          62380
38.44          1          62414
38.59          1          62448
38.63          1          62483
38.63          1          62517
38.63          1          62552
38.63          1          62585
38.63          1          62620
38.63          1          62654
38.63          1          62689
38.63          1          62723
38.78          1          62757
38.93          1          62791
39.12          1          62826
39.12          1          62860
39.12          1          62895
39.12          1          62928
39.12          1          62963
39.17          1          62997
39.12          1          63032
39.12          1          63066
39.12          1          63100
39.17          1          63134
39.37          1          63169
39.56          1          63204
39.51          1          63238
39.61          1          63272
39.61          1          63306
39.61          1          63341
39.61          1          63375
39.61          1          63410
39.61          1          63443
39.61          1          63478
39.61          1          63512
39.66          1          63547
39.91          1          63581
39.95          1          63616
40.10          1          63649
40.10          1          63684
