%tL is: 47.00
%tH is: 48.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
33.21          1          60081
33.40          1          60114
33.26          1          60149
33.26          1          60183
33.26          1          60218
33.26          1          60252
33.26          1          60286
33.26          1          60320
33.26          1          60355
33.26          1          60389
33.26          1          60424
33.26          1          60457
33.26          1          60492
33.26          1          60526
33.26          1          60561
33.26          1          60595
33.26          1          60630
33.26          1          60663
33.26          1          60698
33.26          1          60732
33.26          1          60767
33.26          1          60801
33.26          1          60835
33.36          1          60869
33.36          1          60904
33.65          1          60938
33.75          1          60973
33.75          1          61007
33.75          1          61041
33.75          1          61076
33.75          1          61110
33.75          1          61145
33.80          1          61178
33.80          1          61213
33.80          1          61247
33.84          1          61282
33.99          1          61316
34.14          1          61350
34.24          1          61384
34.24          1          61419
34.24          1          61453
34.24          1          61488
34.24          1          61521
34.24          1          61556
34.24          1          61590
34.28          1          61625
34.33          1          61659
34.58          1          61693
34.72          1          61727
34.72          1          61762
34.72          1          61796
34.72          1          61831
34.72          1          61864
34.72          1          61899
34.72          1          61933
34.72          1          61968
34.77          1          62002
34.87          1          62036
35.02          1          62071
35.16          1          62105
35.16          1          62140
35.21          1          62174
35.21          1          62209
35.21          1          62242
35.21          1          62277
35.21          1          62311
35.21          1          62346
35.26          1          62380
35.36          1          62414
35.56          1          62448
35.70          1          62483
35.70          1          62517
35.70          1          62552
35.70          1          62585
35.70          1          62620
35.75          1          62654
35.70          1          62689
35.80          1          62723
35.90          1          62757
36.14          1          62791
36.14          1          62826
36.19          1          62860
36.19          1          62895
36.19          1          62928
36.19          1          62963
36.19          1          62997
36.19          1          63032
36.19          1          63066
36.24          1          63100
36.24          1          63134
36.53          1          63169
36.58          1          63204
36.68          1          63238
36.68          1          63272
36.68          1          63306
36.68          1          63341
36.68          1          63375
36.68          1          63410
36.68          1          63443
36.68          1          63478
36.73          1          63512
36.87          1          63547
37.12          1          63581
37.07          1          63616
37.17          1          63649
37.17          1          63684
37.17          1          63718
37.17          1          63753
37.17          1          63787
37.17          1          63821
37.17          1          63855
37.17          1          63890
37.27          1          63924
37.51          1          63959
37.66          1          63992
37.66          1          64027
37.61          1          64061
37.66          1          64096
37.66          1          64130
37.66          1          64164
37.66          1          64198
37.66          1          64233
37.71          1          64268
37.71          1          64302
37.75          1          64336
37.95          1          64370
38.00          1          64405
38.15          1          64439
38.15          1          64474
38.15          1          64507
38.15          1          64542
38.15          1          64576
38.15          1          64611
38.15          1          64645
38.19          1          64679
38.19          1          64713
38.15          1          64748
38.34          1          64782
38.59          1          64817
38.63          1          64850
38.63          1          64885
38.63          1          64919
38.63          1          64954
38.63          1          64988
38.63          1          65022
38.63          1          65056
38.63          1          65091
38.63          1          65125
38.63          1          65160
38.78          1          65193
38.98          1          65228
39.07          1          65262
39.07          1          65297
39.12          1          65331
39.12          1          65366
39.12          1          65400
39.12          1          65434
39.12          1          65469
39.12          1          65503
39.12          1          65538
39.12          1          65571
39.22          1          65606
39.22          1          65640
39.47          1          65675
39.61          1          65709
39.56          1          65743
39.61          1          65777
39.61          1          65812
39.61          1          65846
39.61          1          65881
39.61          1          65914
39.61          1          65949
39.61          1          65983
39.61          1          66018
39.61          1          66052
39.66          1          66086
39.81          1          66120
40.00          1          66155
40.10          1          66189
40.10          1          66224
40.10          1          66257
40.10          1          66292
40.10          1          66326
40.10          1          66361
40.10          1          66395
40.10          1          66429
40.10          1          66464
40.10          1          66498
40.10          1          66533
40.30          1          66567
40.49          1          66601
40.44          1          66635
40.54          1          66670
40.59          1          66704
