%tL is: 61.00
%tH is: 62.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
38.63          1          60081
39.76          1          60114
38.63          1          60149
38.63          1          60183
38.63          1          60218
38.63          1          60252
38.63          1          60286
38.63          1          60320
38.63          1          60355
38.63          1          60389
38.63          1          60424
38.63          1          60457
38.63          1          60492
38.63          1          60526
38.63          1          60561
38.63          1          60595
38.63          1          60630
38.63          1          60663
38.63          1          60698
38.63          1          60732
38.63          1          60767
38.63          1          60801
38.73          1          60835
38.83          1          60869
38.83          1          60904
38.98          1          60938
38.98          1          60973
39.12          1          61007
39.12          1          61041
39.12          1          61076
39.12          1          61110
39.12          1          61145
39.12          1          61178
39.12          1          61213
39.12          1          61247
39.17          1          61282
39.17          1          61316
39.47          1          61350
39.51          1          61384
39.56          1          61419
39.61          1          61453
39.61          1          61488
39.61          1          61521
39.61          1          61556
39.61          1          61590
39.61          1          61625
39.61          1          61659
39.61          1          61693
39.76          1          61727
39.76          1          61762
39.91          1          61796
40.10          1          61831
40.10          1          61864
40.10          1          61899
40.10          1          61933
40.10          1          61968
40.10          1          62002
40.10          1          62036
40.10          1          62071
40.10          1          62105
40.10          1          62140
40.10          1          62174
40.44          1          62209
40.54          1          62242
40.59          1          62277
40.59          1          62311
40.59          1          62346
40.59          1          62380
40.59          1          62414
40.59          1          62448
40.59          1          62483
40.64          1          62517
40.69          1          62552
40.78          1          62585
40.98          1          62620
41.03          1          62654
41.08          1          62689
41.03          1          62723
41.08          1          62757
41.08          1          62791
41.08          1          62826
41.13          1          62860
41.08          1          62895
41.08          1          62928
41.32          1          62963
41.32          1          62997
41.47          1          63032
41.47          1          63066
41.57          1          63100
41.57          1          63134
41.57          1          63169
41.57          1          63204
41.57          1          63238
41.57          1          63272
41.57          1          63306
41.66          1          63341
41.66          1          63375
41.91          1          63410
41.96          1          63443
42.01          1          63478
42.06          1          63512
42.06          1          63547
42.06          1          63581
42.06          1          63616
42.06          1          63649
42.06          1          63684
42.06          1          63718
42.06          1          63753
42.15          1          63787
42.35          1          63821
42.25          1          63855
42.50          1          63890
42.54          1          63924
42.54          1          63959
42.54          1          63992
42.54          1          64027
42.54          1          64061
42.54          1          64096
42.54          1          64130
42.54          1          64164
42.54          1          64198
42.69          1          64233
42.89          1          64268
42.98          1          64302
42.98          1          64336
43.03          1          64370
43.03          1          64405
43.03          1          64439
43.03          1          64474
43.03          1          64507
43.03          1          64542
43.03          1          64576
43.03          1          64611
43.03          1          64645
43.08          1          64679
43.28          1          64713
43.47          1          64748
43.47          1          64782
43.52          1          64817
43.52          1          64850
43.52          1          64885
43.52          1          64919
43.52          1          64954
43.52          1          64988
43.52          1          65022
43.52          1          65056
43.52          1          65091
43.62          1          65125
43.67          1          65160
43.86          1          65193
43.86          1          65228
44.01          1          65262
44.01          1          65297
44.01          1          65331
44.01          1          65366
44.01          1          65400
44.01          1          65434
44.01          1          65469
44.06          1          65503
44.06          1          65538
44.01          1          65571
44.01          1          65606
44.26          1          65640
44.40          1          65675
44.45          1          65709
44.45          1          65743
44.50          1          65777
44.50          1          65812
44.50          1          65846
44.50          1          65881
44.50          1          65914
44.50          1          65949
44.50          1          65983
44.50          1          66018
44.50          1          66052
44.60          1          66086
44.74          1          66120
44.70          1          66155
44.99          1          66189
44.99          1          66224
44.99          1          66257
44.99          1          66292
44.99          1          66326
44.99          1          66361
44.99          1          66395
44.99          1          66429
44.99          1          66464
44.99          1          66498
45.04          1          66533
44.99          1          66567
45.13          1          66601
45.18          1          66635
45.43          1          66670
45.48          1          66704
45.48          1          66739
45.48          1          66772
45.48          1          66807
45.48          1          66841
45.48          1          66876
45.48          1          66910
45.48          1          66945
45.48          1          66978
45.48          1          67013
45.53          1          67047
45.67          1          67082
45.67          1          67116
45.82          1          67150
45.82          1          67184
45.92          1          67219
45.97          1          67253
45.97          1          67288
45.97          1          67321
45.97          1          67356
45.97          1          67390
45.97          1          67425
45.97          1          67459
45.97          1          67493
45.97          1          67527
46.01          1          67562
45.97          1          67597
45.97          1          67631
46.16          1          67665
46.41          1          67699
46.36          1          67734
46.41          1          67768
46.45          1          67803
46.45          1          67836
46.45          1          67871
46.45          1          67905
46.45          1          67940
46.45          1          67974
46.45          1          68008
46.45          1          68042
46.50          1          68077
46.50          1          68111
46.65          1          68146
46.65          1          68179
46.85          1          68214
46.89          1          68248
46.94          1          68283
46.94          1          68317
46.94          1          68352
46.94          1          68385
46.94          1          68420
46.94          1          68454
46.94          1          68489
46.94          1          68523
46.94          1          68557
46.94          1          68591
46.99          1          68626
46.94          1          68661
47.19          1          68695
47.14          1          68729
47.29          1          68763
47.33          1          68798
47.43          1          68832
47.43          1          68867
47.43          1          68900
47.43          1          68935
47.43          1          68969
47.43          1          69004
47.43          1          69038
47.43          1          69072
47.43          1          69106
47.43          1          69141
47.43          1          69175
47.53          1          69210
47.58          1          69243
47.58          1          69278
47.87          1          69312
47.87          1          69347
47.87          1          69381
47.92          1          69415
47.92          1          69449
47.92          1          69484
47.92          1          69518
47.92          1          69553
47.92          1          69586
47.92          1          69621
47.92          1          69655
47.92          1          69690
47.92          1          69724
47.92          1          69758
47.92          1          69793
47.97          1          69827
48.12          1          69862
48.31          1          69896
48.21          1          69931
48.26          1          69964
48.41          1          69999
48.41          1          70033
48.41          1          70068
48.41          1          70102
48.41          1          70136
48.41          1          70170
48.41          1          70205
48.41          1          70239
48.41          1          70274
48.41          1          70307
48.41          1          70342
48.46          1          70376
48.51          1          70411
48.61          1          70445
48.75          1          70479
48.65          1          70513
48.80          1          70548
48.85          1          70582
48.90          1          70617
48.90          1          70650
48.90          1          70685
48.90          1          70719
48.90          1          70754
48.90          1          70788
48.90          1          70822
48.90          1          70857
48.95          1          70891
48.90          1          70926
48.90          1          70960
48.90          1          70994
49.00          1          71028
49.19          1          71063
49.14          1          71097
49.34          1          71132
49.39          1          71165
49.39          1          71200
49.39          1          71234
49.39          1          71269
49.39          1          71303
49.39          1          71337
49.39          1          71371
49.39          1          71406
49.39          1          71440
49.39          1          71475
49.39          1          71508
49.39          1          71543
49.39          1          71577
49.39          1          71612
49.48          1          71646
49.58          1          71681
49.63          1          71714
49.68          1          71749
49.88          1          71783
49.83          1          71818
49.88          1          71852
49.88          1          71886
49.88          1          71920
49.88          1          71955
49.88          1          71990
49.88          1          72024
49.88          1          72058
49.88          1          72092
49.88          1          72127
49.88          1          72161
49.92          1          72196
49.88          1          72229
49.92          1          72264
50.02          1          72298
50.32          1          72333
50.27          1          72367
50.32          1          72401
50.36          1          72435
50.36          1          72470
50.36          1          72504
50.36          1          72539
50.36          1          72572
50.36          1          72607
50.36          1          72641
50.36          1          72676
50.36          1          72710
50.36          1          72744
50.36          1          72778
50.36          1          72813
50.36          1          72847
50.36          1          72882
50.36          1          72915
50.66          1          72950
50.66          1          72984
50.71          1          73019
50.80          1          73054
50.85          1          73088
50.80          1          73122
50.85          1          73156
50.85          1          73191
50.85          1          73225
50.85          1          73260
50.85          1          73293
50.85          1          73328
50.85          1          73362
50.85          1          73397
50.85          1          73431
50.85          1          73465
50.85          1          73499
50.85          1          73534
50.85          1          73568
51.05          1          73603
51.10          1          73636
51.24          1          73671
51.20          1          73705
51.29          1          73740
51.34          1          73774
51.34          1          73808
51.34          1          73842
51.34          1          73877
51.34          1          73911
51.34          1          73946
51.34          1          73979
51.34          1          74014
51.34          1          74048
51.34          1          74083
51.34          1          74117
51.39          1          74151
51.34          1          74186
51.34          1          74220
51.39          1          74255
51.54          1          74289
51.59          1          74323
51.78          1          74357
51.73          1          74392
51.83          1          74426
51.83          1          74461
51.83          1          74494
51.83          1          74529
51.83          1          74563
51.83          1          74598
51.83          1          74632
51.83          1          74667
51.83          1          74700
51.83          1          74735
51.83          1          74769
51.83          1          74804
51.83          1          74838
51.88          1          74872
51.88          1          74906
51.98          1          74941
52.08          1          74975
52.12          1          75010
52.12          1          75043
52.32          1          75078
52.22          1          75112
52.32          1          75147
52.32          1          75181
52.32          1          75215
52.32          1          75250
52.32          1          75284
52.32          1          75319
52.32          1          75353
52.32          1          75387
52.32          1          75421
52.32          1          75456
52.32          1          75490
52.32          1          75525
52.32          1          75558
52.32          1          75593
52.52          1          75627
52.52          1          75662
52.61          1          75696
52.71          1          75730
52.81          1          75764
52.76          1          75799
52.81          1          75833
52.81          1          75868
52.81          1          75901
52.81          1          75936
52.81          1          75970
52.81          1          76005
52.81          1          76039
52.81          1          76073
52.81          1          76107
52.81          1          76142
