%tL is: 49.00
%tH is: 50.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
33.70          1          60081
33.89          1          60114
33.75          1          60149
33.75          1          60183
33.75          1          60218
33.75          1          60252
33.75          1          60286
33.75          1          60320
33.75          1          60355
33.75          1          60389
33.75          1          60424
33.75          1          60457
33.75          1          60492
33.75          1          60526
33.75          1          60561
33.75          1          60595
33.75          1          60630
33.75          1          60663
33.75          1          60698
33.80          1          60732
33.75          1          60767
33.75          1          60801
33.84          1          60835
33.94          1          60869
33.94          1          60904
34.09          1          60938
34.24          1          60973
34.24          1          61007
34.24          1          61041
34.24          1          61076
34.24          1          61110
34.24          1          61145
34.24          1          61178
34.24          1          61213
34.28          1          61247
34.33          1          61282
34.53          1          61316
34.72          1          61350
34.72          1          61384
34.72          1          61419
34.72          1          61453
34.72          1          61488
34.72          1          61521
34.72          1          61556
34.72          1          61590
34.77          1          61625
34.77          1          61659
34.87          1          61693
35.16          1          61727
35.21          1          61762
35.21          1          61796
35.21          1          61831
35.21          1          61864
35.21          1          61899
35.21          1          61933
35.21          1          61968
35.21          1          62002
35.36          1          62036
35.51          1          62071
35.65          1          62105
35.70          1          62140
35.70          1          62174
35.70          1          62209
35.70          1          62242
35.70          1          62277
35.70          1          62311
35.70          1          62346
35.70          1          62380
36.00          1          62414
36.04          1          62448
36.14          1          62483
36.19          1          62517
36.19          1          62552
36.19          1          62585
36.19          1          62620
36.19          1          62654
36.19          1          62689
36.19          1          62723
36.29          1          62757
36.43          1          62791
36.58          1          62826
36.58          1          62860
36.68          1          62895
36.68          1          62928
36.68          1          62963
36.68          1          62997
36.68          1          63032
36.68          1          63066
36.68          1          63100
36.68          1          63134
37.02          1          63169
36.97          1          63204
37.02          1          63238
37.17          1          63272
37.17          1          63306
37.17          1          63341
37.17          1          63375
37.17          1          63410
37.17          1          63443
37.17          1          63478
37.17          1          63512
37.27          1          63547
37.27          1          63581
37.56          1          63616
37.66          1          63649
37.66          1          63684
37.66          1          63718
37.66          1          63753
37.66          1          63787
37.66          1          63821
37.66          1          63855
37.66          1          63890
37.71          1          63924
37.80          1          63959
37.85          1          63992
38.05          1          64027
38.15          1          64061
38.15          1          64096
38.15          1          64130
38.15          1          64164
38.15          1          64198
38.15          1          64233
38.15          1          64268
38.15          1          64302
38.19          1          64336
38.19          1          64370
38.19          1          64405
38.59          1          64439
38.59          1          64474
38.63          1          64507
38.63          1          64542
38.63          1          64576
38.63          1          64611
38.63          1          64645
38.63          1          64679
38.68          1          64713
38.68          1          64748
38.68          1          64782
38.78          1          64817
38.98          1          64850
39.07          1          64885
39.12          1          64919
39.12          1          64954
39.12          1          64988
39.12          1          65022
39.12          1          65056
39.12          1          65091
39.12          1          65125
39.12          1          65160
39.22          1          65193
39.27          1          65228
39.42          1          65262
39.56          1          65297
39.61          1          65331
39.61          1          65366
39.61          1          65400
39.61          1          65434
39.61          1          65469
39.61          1          65503
39.61          1          65538
39.66          1          65571
39.66          1          65606
39.61          1          65640
39.71          1          65675
39.95          1          65709
40.10          1          65743
40.10          1          65777
40.10          1          65812
40.10          1          65846
40.10          1          65881
40.10          1          65914
40.10          1          65949
40.10          1          65983
40.10          1          66018
40.10          1          66052
40.10          1          66086
40.20          1          66120
40.35          1          66155
40.35          1          66189
40.49          1          66224
40.54          1          66257
40.59          1          66292
40.59          1          66326
40.59          1          66361
40.59          1          66395
40.59          1          66429
40.59          1          66464
40.59          1          66498
40.59          1          66533
40.59          1          66567
40.69          1          66601
40.74          1          66635
40.93          1          66670
40.98          1          66704
41.08          1          66739
41.08          1          66772
41.08          1          66807
41.08          1          66841
41.08          1          66876
41.08          1          66910
41.08          1          66945
41.08          1          66978
41.13          1          67013
41.08          1          67047
41.22          1          67082
41.47          1          67116
41.42          1          67150
41.52          1          67184
41.57          1          67219
41.57          1          67253
41.57          1          67288
41.57          1          67321
41.57          1          67356
41.57          1          67390
41.57          1          67425
41.57          1          67459
41.57          1          67493
41.66          1          67527
41.66          1          67562
41.91          1          67597
41.86          1          67631
42.01          1          67665
42.06          1          67699
42.06          1          67734
42.06          1          67768
42.06          1          67803
42.06          1          67836
42.06          1          67871
42.06          1          67905
42.06          1          67940
42.10          1          67974
42.06          1          68008
42.25          1          68042
42.35          1          68077
42.45          1          68111
42.54          1          68146
42.50          1          68179
42.54          1          68214
42.54          1          68248
42.54          1          68283
42.54          1          68317
42.54          1          68352
42.54          1          68385
42.54          1          68420
42.54          1          68454
42.54          1          68489
42.59          1          68523
42.84          1          68557
42.89          1          68591
42.89          1          68626
43.03          1          68661
42.94          1          68695
43.03          1          68729
43.03          1          68763
43.03          1          68798
43.03          1          68832
43.03          1          68867
43.03          1          68900
43.03          1          68935
43.03          1          68969
43.08          1          69004
43.08          1          69038
43.08          1          69072
43.33          1          69106
43.52          1          69141
43.52          1          69175
43.52          1          69210
43.52          1          69243
43.52          1          69278
43.57          1          69312
43.52          1          69347
43.52          1          69381
43.52          1          69415
43.52          1          69449
43.52          1          69484
43.57          1          69518
43.52          1          69553
43.62          1          69586
43.72          1          69621
43.86          1          69655
43.96          1          69690
43.96          1          69724
44.01          1          69758
44.01          1          69793
44.01          1          69827
44.01          1          69862
44.01          1          69896
