%tL is: 53.00
%tH is: 54.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
34.92          1          60081
35.16          1          60114
35.12          1          60149
34.82          1          60183
35.02          1          60218
35.07          1          60252
35.12          1          60286
35.02          1          60320
35.07          1          60355
35.02          1          60389
34.92          1          60424
35.02          1          60457
35.02          1          60492
34.92          1          60526
35.16          1          60561
35.21          1          60595
35.16          1          60630
35.16          1          60663
35.12          1          60698
35.12          1          60732
35.16          1          60767
35.12          1          60801
35.26          1          60835
35.21          1          60869
35.21          1          60904
35.21          1          60938
35.16          1          60973
35.31          1          61007
35.31          1          61041
35.26          1          61076
35.41          1          61110
35.36          1          61145
35.36          1          61178
35.46          1          61213
35.56          1          61247
35.65          1          61282
35.65          1          61316
35.65          1          61350
35.70          1          61384
35.70          1          61419
35.65          1          61453
35.70          1          61488
35.70          1          61521
35.70          1          61556
35.80          1          61590
35.90          1          61625
35.85          1          61659
35.95          1          61693
36.00          1          61727
36.14          1          61762
36.09          1          61796
36.19          1          61831
36.19          1          61864
36.19          1          61899
36.24          1          61933
36.19          1          61968
36.19          1          62002
36.19          1          62036
36.19          1          62071
36.19          1          62105
36.24          1          62140
36.34          1          62174
36.48          1          62209
36.34          1          62242
36.63          1          62277
36.63          1          62311
36.63          1          62346
36.68          1          62380
36.73          1          62414
36.68          1          62448
36.73          1          62483
36.73          1          62517
36.87          1          62552
36.73          1          62585
36.78          1          62620
36.83          1          62654
36.83          1          62689
36.97          1          62723
36.92          1          62757
37.17          1          62791
37.17          1          62826
37.17          1          62860
37.17          1          62895
37.17          1          62928
37.17          1          62963
37.17          1          62997
37.17          1          63032
37.17          1          63066
37.36          1          63100
37.27          1          63134
37.27          1          63169
37.46          1          63204
37.61          1          63238
37.41          1          63272
37.56          1          63306
37.61          1          63341
37.66          1          63375
37.66          1          63410
37.66          1          63443
37.66          1          63478
37.66          1          63512
37.66          1          63547
37.66          1          63581
37.71          1          63616
37.75          1          63649
37.71          1          63684
37.90          1          63718
37.85          1          63753
38.05          1          63787
38.10          1          63821
38.10          1          63855
38.15          1          63890
38.15          1          63924
38.15          1          63959
38.15          1          63992
38.15          1          64027
38.15          1          64061
38.15          1          64096
38.15          1          64130
38.34          1          64164
38.29          1          64198
38.29          1          64233
38.34          1          64268
