%tL is: 43.00
%tH is: 44.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
31.79          1          60081
32.28          1          60114
31.99          1          60149
31.94          1          60183
31.89          1          60218
31.94          1          60252
31.79          1          60286
31.79          1          60320
31.89          1          60355
31.89          1          60389
31.84          1          60424
31.94          1          60457
32.04          1          60492
31.99          1          60526
32.04          1          60561
32.18          1          60595
32.18          1          60630
32.28          1          60663
32.28          1          60698
32.28          1          60732
32.28          1          60767
32.28          1          60801
32.28          1          60835
32.28          1          60869
32.28          1          60904
32.28          1          60938
32.28          1          60973
32.33          1          61007
32.33          1          61041
32.52          1          61076
32.72          1          61110
32.77          1          61145
32.77          1          61178
32.77          1          61213
32.77          1          61247
32.77          1          61282
32.77          1          61316
32.77          1          61350
32.77          1          61384
32.77          1          61419
33.01          1          61453
33.21          1          61488
33.26          1          61521
33.26          1          61556
33.26          1          61590
33.26          1          61625
33.26          1          61659
33.26          1          61693
33.26          1          61727
33.31          1          61762
33.31          1          61796
33.55          1          61831
33.65          1          61864
33.75          1          61899
33.75          1          61933
33.75          1          61968
33.75          1          62002
33.75          1          62036
33.75          1          62071
33.80          1          62105
33.89          1          62140
34.09          1          62174
34.19          1          62209
34.19          1          62242
34.24          1          62277
34.24          1          62311
34.24          1          62346
34.24          1          62380
34.24          1          62414
34.24          1          62448
34.28          1          62483
34.38          1          62517
34.53          1          62552
34.63          1          62585
34.68          1          62620
34.72          1          62654
34.72          1          62689
34.72          1          62723
34.72          1          62757
34.72          1          62791
34.72          1          62826
34.77          1          62860
34.87          1          62895
35.02          1          62928
35.07          1          62963
35.16          1          62997
35.21          1          63032
35.21          1          63066
35.21          1          63100
35.21          1          63134
35.21          1          63169
35.21          1          63204
35.21          1          63238
35.36          1          63272
35.51          1          63306
35.70          1          63341
35.70          1          63375
35.70          1          63410
35.70          1          63443
35.70          1          63478
35.70          1          63512
35.70          1          63547
35.75          1          63581
35.75          1          63616
35.85          1          63649
35.90          1          63684
36.09          1          63718
36.19          1          63753
36.19          1          63787
36.19          1          63821
36.19          1          63855
36.19          1          63890
36.19          1          63924
36.19          1          63959
36.19          1          63992
36.34          1          64027
36.39          1          64061
36.43          1          64096
36.48          1          64130
36.68          1          64164
36.68          1          64198
36.68          1          64233
36.68          1          64268
36.68          1          64302
36.68          1          64336
36.68          1          64370
36.68          1          64405
36.68          1          64439
36.83          1          64474
37.07          1          64507
37.07          1          64542
37.17          1          64576
37.17          1          64611
37.17          1          64645
37.17          1          64679
37.17          1          64713
37.17          1          64748
37.17          1          64782
37.17          1          64817
37.22          1          64850
37.22          1          64885
37.56          1          64919
37.66          1          64954
37.66          1          64988
37.66          1          65022
37.66          1          65056
37.66          1          65091
37.66          1          65125
37.66          1          65160
37.66          1          65193
37.66          1          65228
37.71          1          65262
37.66          1          65297
37.95          1          65331
37.90          1          65366
38.10          1          65400
38.15          1          65434
38.15          1          65469
38.15          1          65503
38.15          1          65538
38.15          1          65571
38.15          1          65606
38.15          1          65640
38.15          1          65675
38.15          1          65709
38.15          1          65743
38.34          1          65777
38.54          1          65812
38.63          1          65846
38.63          1          65881
38.63          1          65914
38.63          1          65949
38.63          1          65983
38.63          1          66018
38.63          1          66052
38.63          1          66086
38.63          1          66120
38.63          1          66155
38.63          1          66189
38.88          1          66224
39.03          1          66257
39.03          1          66292
39.12          1          66326
39.12          1          66361
39.12          1          66395
39.12          1          66429
39.12          1          66464
39.12          1          66498
39.12          1          66533
39.12          1          66567
39.12          1          66601
39.12          1          66635
39.27          1          66670
39.42          1          66704
39.51          1          66739
39.56          1          66772
39.61          1          66807
39.61          1          66841
39.61          1          66876
39.61          1          66910
39.61          1          66945
39.61          1          66978
39.61          1          67013
39.61          1          67047
39.61          1          67082
39.66          1          67116
39.76          1          67150
39.86          1          67184
40.10          1          67219
40.10          1          67253
40.10          1          67288
40.10          1          67321
40.10          1          67356
40.10          1          67390
40.10          1          67425
40.10          1          67459
40.10          1          67493
40.10          1          67527
40.10          1          67562
40.10          1          67597
40.10          1          67631
40.35          1          67665
40.59          1          67699
40.54          1          67734
40.54          1          67768
40.54          1          67803
40.59          1          67836
40.59          1          67871
40.59          1          67905
40.59          1          67940
40.59          1          67974
40.59          1          68008
40.59          1          68042
40.59          1          68077
40.59          1          68111
40.88          1          68146
40.88          1          68179
41.03          1          68214
41.03          1          68248
41.03          1          68283
41.08          1          68317
41.08          1          68352
41.08          1          68385
41.08          1          68420
41.08          1          68454
41.08          1          68489
41.13          1          68523
41.08          1          68557
41.08          1          68591
41.18          1          68626
41.22          1          68661
41.47          1          68695
41.57          1          68729
41.57          1          68763
41.57          1          68798
41.57          1          68832
41.57          1          68867
41.57          1          68900
41.57          1          68935
41.57          1          68969
41.62          1          69004
41.57          1          69038
41.57          1          69072
41.57          1          69106
41.71          1          69141
41.91          1          69175
42.06          1          69210
42.06          1          69243
42.01          1          69278
42.01          1          69312
42.06          1          69347
42.06          1          69381
42.06          1          69415
42.06          1          69449
42.06          1          69484
42.06          1          69518
42.06          1          69553
42.10          1          69586
42.20          1          69621
42.25          1          69655
42.25          1          69690
42.50          1          69724
42.50          1          69758
42.54          1          69793
42.54          1          69827
42.54          1          69862
42.54          1          69896
42.54          1          69931
42.54          1          69964
42.54          1          69999
42.54          1          70033
42.54          1          70068
42.54          1          70102
42.59          1          70136
42.54          1          70170
42.69          1          70205
42.74          1          70239
42.98          1          70274
42.94          1          70307
43.03          1          70342
43.03          1          70376
43.03          1          70411
43.03          1          70445
43.03          1          70479
43.03          1          70513
43.03          1          70548
43.03          1          70582
43.03          1          70617
43.03          1          70650
43.03          1          70685
43.08          1          70719
43.23          1          70754
43.33          1          70788
43.42          1          70822
43.47          1          70857
43.52          1          70891
43.52          1          70926
43.52          1          70960
43.52          1          70994
43.52          1          71028
43.52          1          71063
43.52          1          71097
43.52          1          71132
43.52          1          71165
43.52          1          71200
43.72          1          71234
43.62          1          71269
43.77          1          71303
43.86          1          71337
44.01          0          71371
43.96          0          71406
44.01          0          71440
44.01          0          71475
44.01          0          71508
44.01          0          71543
44.01          0          71577
44.01          0          71612
44.01          0          71646
44.01          0          71681
44.01          0          71714
44.01          0          71749
44.01          0          71783
44.01          0          71818
44.01          0          71852
44.01          0          71886
44.01          0          71920
44.01          0          71955
44.01          0          71990
44.01          0          72024
44.01          0          72058
44.01          0          72092
44.01          0          72127
44.01          0          72161
44.01          0          72196
44.01          0          72229
44.01          0          72264
44.01          0          72298
44.01          0          72333
44.01          0          72367
44.01          0          72401
44.01          0          72435
44.01          0          72470
44.01          0          72504
44.01          0          72539
44.01          0          72572
44.01          0          72607
44.01          0          72641
43.96          0          72676
43.96          0          72710
44.01          0          72744
43.82          0          72778
43.82          0          72813
43.67          0          72847
43.52          0          72882
43.67          0          72915
43.62          0          72950
43.52          0          72984
43.52          0          73019
43.52          0          73054
43.57          0          73088
43.52          0          73122
43.52          0          73156
43.52          0          73191
43.52          0          73225
43.52          0          73260
43.52          0          73293
43.52          0          73328
43.52          0          73362
43.52          0          73397
43.52          0          73431
43.52          0          73465
43.52          0          73499
43.52          0          73534
43.52          0          73568
43.47          0          73603
43.52          0          73636
43.52          0          73671
43.28          0          73705
43.28          0          73740
43.13          0          73774
43.03          0          73808
43.03          0          73842
43.03          0          73877
43.03          0          73911
43.03          0          73946
43.03          0          73979
43.03          0          74014
43.03          0          74048
43.03          0          74083
43.03          0          74117
43.03          0          74151
43.03          0          74186
43.03          0          74220
43.03          0          74255
43.03          0          74289
43.03          0          74323
43.03          0          74357
43.03          0          74392
43.03          0          74426
43.03          0          74461
43.03          0          74494
42.98          1          74529
43.47          1          74563
43.03          1          74598
42.94          1          74632
42.84          1          74667
42.69          1          74700
42.79          1          74735
42.69          1          74769
42.74          1          74804
42.59          1          74838
42.54          1          74872
42.54          1          74906
42.59          1          74941
42.54          1          74975
42.54          1          75010
42.54          1          75043
42.64          1          75078
42.79          1          75112
42.79          1          75147
42.79          1          75181
42.84          1          75215
42.84          1          75250
43.03          1          75284
42.94          1          75319
43.03          1          75353
43.03          1          75387
43.03          1          75421
43.03          1          75456
43.03          1          75490
43.03          1          75525
43.03          1          75558
43.03          1          75593
43.03          1          75627
43.03          1          75662
43.03          1          75696
43.08          1          75730
43.08          1          75764
43.18          1          75799
43.28          1          75833
43.47          1          75868
43.47          1          75901
43.52          1          75936
43.52          1          75970
43.52          1          76005
43.52          1          76039
43.52          1          76073
43.52          1          76107
43.52          1          76142
43.52          1          76176
43.52          1          76211
43.52          1          76244
43.57          1          76279
43.57          1          76313
43.57          1          76348
43.86          1          76383
43.96          1          76417
44.01          0          76451
44.01          0          76485
44.01          0          76520
44.01          0          76554
44.01          0          76589
44.01          0          76622
44.01          0          76657
44.01          0          76691
44.01          0          76726
44.01          0          76760
44.01          0          76794
44.01          0          76828
44.01          0          76863
44.01          0          76897
44.01          0          76932
44.01          0          76965
44.06          0          77000
44.01          0          77034
44.01          0          77069
44.01          0          77103
44.01          0          77137
44.01          0          77171
44.01          0          77206
44.01          0          77240
44.01          0          77275
44.01          0          77308
44.01          0          77343
44.01          0          77377
44.01          0          77412
44.01          0          77447
44.01          0          77480
44.01          0          77515
44.01          0          77549
44.01          0          77584
44.01          0          77618
44.01          0          77652
44.01          0          77686
44.01          0          77721
44.01          0          77755
44.01          0          77790
44.01          0          77824
44.01          0          77858
44.01          0          77892
44.01          0          77927
44.01          0          77961
44.01          0          77996
44.01          0          78029
44.01          0          78064
44.01          0          78098
44.01          0          78133
44.01          0          78167
44.01          0          78201
43.96          0          78235
43.96          0          78270
43.96          0          78304
43.86          0          78339
43.62          0          78372
43.67          0          78407
43.57          0          78441
43.57          0          78476
43.52          0          78510
43.52          0          78544
43.52          0          78579
43.52          0          78613
43.52          0          78648
43.52          0          78682
43.52          0          78716
43.52          0          78750
43.52          0          78785
43.52          0          78819
43.52          0          78854
43.52          0          78887
43.52          0          78922
43.52          0          78956
43.52          0          78991
43.52          0          79025
43.52          0          79059
43.52          0          79093
43.52          0          79128
43.52          0          79162
43.52          0          79197
43.47          0          79230
43.42          0          79265
43.42          0          79299
43.38          0          79334
43.42          0          79368
43.03          0          79403
43.08          0          79436
43.13          0          79471
43.08          0          79505
43.03          0          79540
43.03          0          79574
43.03          0          79608
43.03          0          79643
43.03          0          79677
43.03          0          79712
43.03          0          79746
43.03          0          79780
43.03          0          79814
43.03          0          79849
43.03          0          79883
43.03          0          79918
43.03          0          79951
43.03          0          79986
43.03          0          80020
43.03          0          80055
43.03          0          80089
43.03          0          80123
43.03          0          80157
43.03          0          80192
43.03          0          80226
43.03          0          80261
43.03          0          80294
42.98          1          80329
43.38          1          80363
42.94          1          80398
43.03          1          80432
42.89          1          80466
42.79          1          80500
42.89          1          80535
42.79          1          80569
42.79          1          80604
42.69          1          80637
42.64          1          80672
42.64          1          80706
42.79          1          80741
42.69          1          80776
42.69          1          80809
42.79          1          80844
42.84          1          80878
42.98          1          80913
42.94          1          80947
43.03          1          80982
42.98          1          81015
42.98          1          81050
43.03          1          81084
43.03          1          81119
43.03          1          81153
43.03          1          81187
43.03          1          81221
43.03          1          81256
43.03          1          81290
43.03          1          81325
43.08          1          81358
43.03          1          81393
43.08          1          81427
43.03          1          81462
43.08          1          81496
43.33          1          81530
43.42          1          81564
43.47          1          81599
43.52          1          81633
43.52          1          81668
43.52          1          81701
43.52          1          81736
43.52          1          81770
43.52          1          81805
43.52          1          81840
43.52          1          81873
43.52          1          81908
43.57          1          81942
43.72          1          81977
43.77          1          82011
43.86          1          82045
43.91          1          82079
44.01          0          82114
44.01          0          82148
44.01          0          82183
44.01          0          82216
44.01          0          82251
44.01          0          82285
44.01          0          82320
44.01          0          82354
44.01          0          82388
44.01          0          82422
44.01          0          82457
44.01          0          82491
44.06          0          82526
44.01          0          82560
44.01          0          82594
44.06          0          82628
44.16          0          82663
44.06          0          82697
44.11          0          82732
44.11          0          82765
44.11          0          82800
44.11          0          82834
44.06          0          82869
44.01          0          82903
44.11          0          82937
44.11          0          82972
44.11          0          83006
44.06          0          83041
44.01          0          83075
44.01          0          83109
44.06          0          83143
44.01          0          83178
44.01          0          83212
44.01          0          83247
44.01          0          83280
44.01          0          83315
44.01          0          83349
44.01          0          83384
44.01          0          83418
44.01          0          83452
44.01          0          83486
44.01          0          83521
44.01          0          83555
44.01          0          83590
44.01          0          83623
44.01          0          83658
44.01          0          83692
44.01          0          83727
44.01          0          83761
44.01          0          83795
44.01          0          83829
44.01          0          83864
44.01          0          83898
44.01          0          83933
44.01          0          83966
43.96          0          84001
43.96          0          84036
43.96          0          84070
44.01          0          84105
43.96          0          84139
43.77          0          84173
43.67          0          84207
43.62          0          84242
43.62          0          84276
43.62          0          84311
43.52          0          84344
43.57          0          84379
43.52          0          84413
43.57          0          84448
43.52          0          84482
43.52          0          84516
43.52          0          84550
43.52          0          84585
43.52          0          84619
43.52          0          84654
43.52          0          84687
43.52          0          84722
43.52          0          84756
43.52          0          84791
43.52          0          84825
43.52          0          84859
43.52          0          84893
43.52          0          84928
43.52          0          84962
43.52          0          84997
43.52          0          85030
43.52          0          85065
43.52          0          85099
43.52          0          85134
43.52          0          85169
43.47          0          85202
43.38          0          85237
43.28          0          85271
43.33          0          85306
43.28          0          85340
43.08          0          85374
43.03          0          85408
43.03          0          85443
43.03          0          85477
43.08          0          85512
43.03          0          85545
43.03          0          85580
43.03          0          85614
43.03          0          85649
43.08          0          85683
43.03          0          85718
43.03          0          85751
43.03          0          85786
43.03          0          85820
43.03          0          85855
43.03          0          85889
43.03          0          85923
43.03          0          85957
43.03          0          85992
43.03          0          86026
43.03          0          86061
43.03          0          86094
43.03          0          86129
43.03          0          86163
42.98          1          86198
43.47          1          86233
43.03          1          86266
42.98          1          86301
43.03          1          86335
43.03          1          86370
42.98          1          86404
43.03          1          86438
42.98          1          86472
42.98          1          86507
42.98          1          86541
42.98          1          86576
42.98          1          86609
42.94          1          86644
42.98          1          86678
42.98          1          86713
42.98          1          86747
43.03          1          86781
42.98          1          86815
43.03          1          86850
43.03          1          86884
43.03          1          86919
43.03          1          86952
43.03          1          86987
43.03          1          87021
43.03          1          87056
43.03          1          87090
43.03          1          87124
43.03          1          87158
43.03          1          87193
43.03          1          87227
43.08          1          87262
43.28          1          87296
43.38          1          87330
43.52          1          87365
43.52          1          87399
43.52          1          87434
43.52          1          87468
43.52          1          87502
43.52          1          87536
43.52          1          87571
43.52          1          87605
43.52          1          87640
43.52          1          87673
43.52          1          87708
43.57          1          87742
43.62          1          87777
43.82          1          87811
43.86          1          87845
44.01          0          87879
44.01          0          87914
44.01          0          87948
44.01          0          87983
44.01          0          88016
44.01          0          88051
44.01          0          88085
44.01          0          88120
44.01          0          88154
44.01          0          88188
44.01          0          88222
44.01          0          88257
44.01          0          88291
44.01          0          88326
44.06          0          88359
44.01          0          88394
44.01          0          88429
44.11          0          88463
44.01          0          88498
44.21          0          88531
44.16          0          88566
44.11          0          88600
44.16          0          88635
44.11          0          88669
44.11          0          88704
44.21          0          88737
44.06          0          88772
44.01          0          88806
44.16          0          88841
44.11          0          88875
44.01          0          88909
44.01          0          88943
44.11          0          88978
44.01          0          89012
44.01          0          89047
44.01          0          89080
44.01          0          89115
44.01          0          89149
44.01          0          89184
44.01          0          89218
44.01          0          89252
44.01          0          89286
44.01          0          89321
44.01          0          89355
44.01          0          89390
44.01          0          89423
44.01          0          89458
44.01          0          89492
44.01          0          89527
44.01          0          89562
44.01          0          89595
44.01          0          89630
44.01          0          89664
44.01          0          89699
44.01          0          89733
44.01          0          89767
44.01          0          89801
44.01          0          89836
44.01          0          89870
44.01          0          89905
44.01          0          89938
44.01          0          89973
43.96          0          90007
43.91          0          90042
43.91          0          90076
43.91          0          90110
43.67          0          90144
43.62          0          90179
43.62          0          90213
43.62          0          90248
43.57          0          90281
43.52          0          90316
43.52          0          90350
43.52          0          90385
43.52          0          90419
43.52          0          90454
43.52          0          90487
43.52          0          90522
43.52          0          90556
43.52          0          90591
43.52          0          90626
43.52          0          90659
43.52          0          90694
43.52          0          90728
43.52          0          90763
43.52          0          90797
43.52          0          90831
43.52          0          90865
43.52          0          90900
43.52          0          90934
43.52          0          90969
43.52          0          91002
43.52          0          91037
43.47          0          91071
43.47          0          91106
43.47          0          91140
43.42          0          91174
43.52          0          91208
43.38          0          91243
43.18          0          91277
43.13          0          91312
43.13          0          91345
43.03          0          91380
43.08          0          91414
43.03          0          91449
43.03          0          91483
43.08          0          91517
43.03          0          91551
43.08          0          91586
43.03          0          91620
43.03          0          91655
43.03          0          91688
43.03          0          91723
43.03          0          91758
43.03          0          91792
43.03          0          91827
43.03          0          91860
43.03          0          91895
43.03          0          91929
43.03          0          91964
43.03          0          91998
43.03          0          92033
43.03          0          92066
43.03          0          92101
43.03          0          92135
43.03          0          92170
43.03          0          92204
43.03          0          92238
43.03          0          92272
43.03          0          92307
43.03          0          92341
43.03          0          92376
42.98          1          92409
43.42          1          92444
42.94          1          92478
43.03          1          92513
42.98          1          92547
42.89          1          92581
42.94          1          92615
42.89          1          92650
42.89          1          92684
42.84          1          92719
42.94          1          92752
42.94          1          92787
42.89          1          92822
42.89          1          92856
42.98          1          92891
43.03          1          92924
42.98          1          92959
42.98          1          92993
43.03          1          93028
43.03          1          93062
43.03          1          93096
43.03          1          93130
43.03          1          93165
43.03          1          93199
43.03          1          93234
43.03          1          93267
43.03          1          93302
43.03          1          93336
43.03          1          93371
43.03          1          93405
43.03          1          93440
43.03          1          93473
43.23          1          93508
43.33          1          93542
43.42          1          93577
43.47          1          93611
43.52          1          93645
43.52          1          93679
43.52          1          93714
43.52          1          93748
43.52          1          93783
43.52          1          93816
43.57          1          93851
43.52          1          93885
43.57          1          93920
43.52          1          93955
43.77          1          93988
43.77          1          94023
43.91          1          94057
43.96          1          94092
44.01          0          94126
44.01          0          94160
44.01          0          94194
44.01          0          94229
44.01          0          94263
44.01          0          94298
44.01          0          94331
44.01          0          94366
44.01          0          94400
44.01          0          94435
44.01          0          94469
44.11          0          94503
44.06          0          94537
44.21          0          94572
44.30          0          94606
44.35          0          94641
44.40          0          94674
44.40          0          94709
44.40          0          94743
44.50          0          94778
44.35          0          94812
44.45          0          94846
44.45          0          94880
44.40          0          94915
44.45          0          94949
44.50          0          94984
44.35          0          95019
44.40          0          95052
44.35          0          95087
44.40          0          95121
44.26          0          95156
44.26          0          95190
44.11          0          95224
44.16          0          95258
44.11          0          95293
44.06          0          95327
44.11          0          95362
44.01          0          95395
44.01          0          95430
44.01          0          95464
44.06          0          95499
44.06          0          95533
44.01          0          95567
44.06          0          95601
44.01          0          95636
44.06          0          95670
44.01          0          95705
44.01          0          95738
44.01          0          95773
44.01          0          95807
44.01          0          95842
44.01          0          95876
44.01          0          95910
44.01          0          95944
44.01          0          95979
44.01          0          96013
44.01          0          96048
44.01          0          96081
44.01          0          96116
44.01          0          96151
44.01          0          96185
44.01          0          96220
44.01          0          96253
43.96          0          96288
44.01          0          96322
44.01          0          96357
43.96          0          96391
43.96          0          96425
43.82          0          96459
43.77          0          96494
43.67          0          96528
43.62          0          96563
43.72          0          96596
43.67          0          96631
43.57          0          96665
43.52          0          96700
43.62          0          96734
43.52          0          96769
43.57          0          96802
43.52          0          96837
43.52          0          96871
43.52          0          96906
43.52          0          96940
43.52          0          96974
43.52          0          97008
43.52          0          97043
43.52          0          97077
43.52          0          97112
43.52          0          97145
43.52          0          97180
43.52          0          97215
43.52          0          97249
43.52          0          97284
43.52          0          97317
43.52          0          97352
43.52          0          97386
43.52          0          97421
43.52          0          97455
43.52          0          97489
43.52          0          97523
43.52          0          97558
43.47          0          97592
43.47          0          97627
43.28          0          97660
43.28          0          97695
43.38          0          97729
43.28          0          97764
43.18          0          97798
43.18          0          97832
43.08          0          97866
43.03          0          97901
43.03          0          97935
