%tL is: 41.00
%tH is: 42.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
30.77          1          60081
31.35          1          60114
30.81          1          60149
30.77          1          60183
30.81          1          60218
30.67          1          60252
30.67          1          60286
30.72          1          60320
30.77          1          60355
30.77          1          60389
30.62          1          60424
30.81          1          60457
30.81          1          60492
30.81          1          60526
30.81          1          60561
30.81          1          60595
30.81          1          60630
30.81          1          60663
30.81          1          60698
30.81          1          60732
30.81          1          60767
30.86          1          60801
30.81          1          60835
30.86          1          60869
30.91          1          60904
31.01          1          60938
31.11          1          60973
31.30          1          61007
31.25          1          61041
31.30          1          61076
31.30          1          61110
31.30          1          61145
31.30          1          61178
31.30          1          61213
31.35          1          61247
31.35          1          61282
31.40          1          61316
31.65          1          61350
31.65          1          61384
31.79          1          61419
31.79          1          61453
31.79          1          61488
31.79          1          61521
31.79          1          61556
31.79          1          61590
31.79          1          61625
31.94          1          61659
31.94          1          61693
31.99          1          61727
31.99          1          61762
32.23          1          61796
32.28          1          61831
32.28          1          61864
32.28          1          61899
32.28          1          61933
32.28          1          61968
32.28          1          62002
32.28          1          62036
32.48          1          62071
32.57          1          62105
32.67          1          62140
32.77          1          62174
32.77          1          62209
32.77          1          62242
32.77          1          62277
32.77          1          62311
32.77          1          62346
32.77          1          62380
32.77          1          62414
33.06          1          62448
33.11          1          62483
33.21          1          62517
33.26          1          62552
33.26          1          62585
33.26          1          62620
33.26          1          62654
33.26          1          62689
33.26          1          62723
33.26          1          62757
33.36          1          62791
33.40          1          62826
33.60          1          62860
33.70          1          62895
33.75          1          62928
33.75          1          62963
33.75          1          62997
33.75          1          63032
33.75          1          63066
33.75          1          63100
33.75          1          63134
33.80          1          63169
34.09          1          63204
34.24          1          63238
34.19          1          63272
34.24          1          63306
34.24          1          63341
34.24          1          63375
34.24          1          63410
34.24          1          63443
34.24          1          63478
34.24          1          63512
34.48          1          63547
34.48          1          63581
34.72          1          63616
34.72          1          63649
34.72          1          63684
34.72          1          63718
34.72          1          63753
34.72          1          63787
34.72          1          63821
34.72          1          63855
34.72          1          63890
34.77          1          63924
35.02          1          63959
35.07          1          63992
35.16          1          64027
35.16          1          64061
35.21          1          64096
35.21          1          64130
35.21          1          64164
35.21          1          64198
35.21          1          64233
35.21          1          64268
35.21          1          64302
35.31          1          64336
35.41          1          64370
35.56          1          64405
35.65          1          64439
35.65          1          64474
35.70          1          64507
35.70          1          64542
35.70          1          64576
35.70          1          64611
35.70          1          64645
35.70          1          64679
35.75          1          64713
35.75          1          64748
35.95          1          64782
36.14          1          64817
36.14          1          64850
36.19          1          64885
36.19          1          64919
36.19          1          64954
36.19          1          64988
36.19          1          65022
36.19          1          65056
36.19          1          65091
36.29          1          65125
36.34          1          65160
36.34          1          65193
36.48          1          65228
36.63          1          65262
36.68          1          65297
36.68          1          65331
36.68          1          65366
36.68          1          65400
36.68          1          65434
36.68          1          65469
36.73          1          65503
36.68          1          65538
36.68          1          65571
36.73          1          65606
36.92          1          65640
37.02          1          65675
37.17          1          65709
37.12          1          65743
37.17          1          65777
37.17          1          65812
37.17          1          65846
37.17          1          65881
37.17          1          65914
37.17          1          65949
37.17          1          65983
37.17          1          66018
37.17          1          66052
37.41          1          66086
37.66          1          66120
37.61          1          66155
