%tL is: 37.00
%tH is: 38.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
28.86          1          60081
29.35          1          60114
28.86          1          60149
28.86          1          60183
28.86          1          60218
28.86          1          60252
28.86          1          60286
28.86          1          60320
28.86          1          60355
28.86          1          60389
28.86          1          60424
28.86          1          60457
28.86          1          60492
28.91          1          60526
28.86          1          60561
28.86          1          60595
28.86          1          60630
28.86          1          60663
28.91          1          60698
29.01          1          60732
29.25          1          60767
29.35          1          60801
29.30          1          60835
29.30          1          60869
29.35          1          60904
29.35          1          60938
29.35          1          60973
29.35          1          61007
29.35          1          61041
29.35          1          61076
29.35          1          61110
29.40          1          61145
29.45          1          61178
29.64          1          61213
29.79          1          61247
29.84          1          61282
29.84          1          61316
29.84          1          61350
29.84          1          61384
29.84          1          61419
29.84          1          61453
29.93          1          61488
29.93          1          61521
30.03          1          61556
30.23          1          61590
30.28          1          61625
30.33          1          61659
30.33          1          61693
30.33          1          61727
30.33          1          61762
30.33          1          61796
30.33          1          61831
30.33          1          61864
30.37          1          61899
30.57          1          61933
30.72          1          61968
30.81          1          62002
30.77          1          62036
30.81          1          62071
30.81          1          62105
30.81          1          62140
30.81          1          62174
30.86          1          62209
31.06          1          62242
31.21          1          62277
31.21          1          62311
31.30          1          62346
31.30          1          62380
31.30          1          62414
31.30          1          62448
31.30          1          62483
31.30          1          62517
31.35          1          62552
31.30          1          62585
31.50          1          62620
31.69          1          62654
31.74          1          62689
31.79          1          62723
31.79          1          62757
31.79          1          62791
31.79          1          62826
31.79          1          62860
31.79          1          62895
31.79          1          62928
31.89          1          62963
32.18          1          62997
32.18          1          63032
32.28          1          63066
32.28          1          63100
32.28          1          63134
32.28          1          63169
32.28          1          63204
32.28          1          63238
32.28          1          63272
32.28          1          63306
32.43          1          63341
32.48          1          63375
32.67          1          63410
32.57          1          63443
32.72          1          63478
32.77          1          63512
32.77          1          63547
32.77          1          63581
32.77          1          63616
32.77          1          63649
32.77          1          63684
32.96          1          63718
32.87          1          63753
33.21          1          63787
33.21          1          63821
33.26          1          63855
33.26          1          63890
33.26          1          63924
33.26          1          63959
33.26          1          63992
33.26          1          64027
33.26          1          64061
33.26          1          64096
33.40          1          64130
33.65          1          64164
33.75          1          64198
33.75          1          64233
33.75          1          64268
33.75          1          64302
33.75          1          64336
33.75          1          64370
33.75          1          64405
33.75          1          64439
33.75          1          64474
33.80          1          64507
33.89          1          64542
34.19          1          64576
34.09          1          64611
34.19          1          64645
34.24          1          64679
34.24          1          64713
34.24          1          64748
34.24          1          64782
34.24          1          64817
34.24          1          64850
34.28          1          64885
34.33          1          64919
34.53          1          64954
34.72          1          64988
34.68          1          65022
34.72          1          65056
34.72          1          65091
34.72          1          65125
34.72          1          65160
34.72          1          65193
34.72          1          65228
34.72          1          65262
34.72          1          65297
34.77          1          65331
34.82          1          65366
35.12          1          65400
35.07          1          65434
35.12          1          65469
35.21          1          65503
35.21          1          65538
35.21          1          65571
35.21          1          65606
35.21          1          65640
35.21          1          65675
35.31          1          65709
35.26          1          65743
35.36          1          65777
35.31          1          65812
35.65          1          65846
35.70          1          65881
35.70          1          65914
35.70          1          65949
35.70          1          65983
35.70          1          66018
35.70          1          66052
35.70          1          66086
35.70          1          66120
35.75          1          66155
35.75          1          66189
35.80          1          66224
35.95          1          66257
36.09          1          66292
36.19          1          66326
36.19          1          66361
36.19          1          66395
36.19          1          66429
36.19          1          66464
36.19          1          66498
36.19          1          66533
36.19          1          66567
36.19          1          66601
36.24          1          66635
36.34          1          66670
36.43          1          66704
36.68          1          66739
36.63          1          66772
36.63          1          66807
36.68          1          66841
36.68          1          66876
36.68          1          66910
36.68          1          66945
36.68          1          66978
36.68          1          67013
36.68          1          67047
36.68          1          67082
36.83          1          67116
36.87          1          67150
37.02          1          67184
37.02          1          67219
37.17          1          67253
37.17          1          67288
37.17          1          67321
37.17          1          67356
37.17          1          67390
37.17          1          67425
37.17          1          67459
37.17          1          67493
37.17          1          67527
37.31          1          67562
37.31          1          67597
37.46          1          67631
37.61          1          67665
37.66          1          67699
37.61          1          67734
37.66          1          67768
37.66          1          67803
37.66          1          67836
37.66          1          67871
37.66          1          67905
37.66          1          67940
37.71          1          67974
37.71          1          68008
37.75          1          68042
37.85          1          68077
38.10          0          68111
38.10          0          68146
38.10          0          68179
38.15          0          68214
38.15          0          68248
38.15          0          68283
38.15          0          68317
38.15          0          68352
38.15          0          68385
38.15          0          68420
38.15          0          68454
38.15          0          68489
38.15          0          68523
38.15          0          68557
38.15          0          68591
38.19          0          68626
38.15          0          68661
38.19          0          68695
38.15          0          68729
38.15          0          68763
38.15          0          68798
38.15          0          68832
38.15          0          68867
38.15          0          68900
38.15          0          68935
38.15          0          68969
38.15          0          69004
38.15          0          69038
38.15          0          69072
38.15          0          69106
38.15          0          69141
38.15          0          69175
38.15          0          69210
38.15          0          69243
38.15          0          69278
38.15          0          69312
38.15          0          69347
38.15          0          69381
38.15          0          69415
38.15          0          69449
38.15          0          69484
38.15          0          69518
38.15          0          69553
38.15          0          69586
38.15          0          69621
38.15          0          69655
38.15          0          69690
38.15          0          69724
38.15          0          69758
38.15          0          69793
37.95          0          69827
37.90          0          69862
37.90          0          69896
37.80          0          69931
37.85          0          69964
37.71          0          69999
37.66          0          70033
37.66          0          70068
37.75          0          70102
37.71          0          70136
37.66          0          70170
37.66          0          70205
37.66          0          70239
37.66          0          70274
37.66          0          70307
37.66          0          70342
37.66          0          70376
37.66          0          70411
37.66          0          70445
37.66          0          70479
37.66          0          70513
37.66          0          70548
37.66          0          70582
