%tL is: 45.00
%tH is: 46.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
32.77          1          60081
33.21          1          60114
32.77          1          60149
32.77          1          60183
32.77          1          60218
32.77          1          60252
32.77          1          60286
32.77          1          60320
32.77          1          60355
32.77          1          60389
32.77          1          60424
32.77          1          60457
32.77          1          60492
32.77          1          60526
32.77          1          60561
32.77          1          60595
32.87          1          60630
32.82          1          60663
32.92          1          60698
32.96          1          60732
33.21          1          60767
33.26          1          60801
33.26          1          60835
33.26          1          60869
33.26          1          60904
33.26          1          60938
33.26          1          60973
33.26          1          61007
33.26          1          61041
33.26          1          61076
33.26          1          61110
33.40          1          61145
33.55          1          61178
33.65          1          61213
33.75          1          61247
33.75          1          61282
33.75          1          61316
33.75          1          61350
33.75          1          61384
33.75          1          61419
33.75          1          61453
33.75          1          61488
33.94          1          61521
34.04          1          61556
34.14          1          61590
34.24          1          61625
34.24          1          61659
34.24          1          61693
34.24          1          61727
34.24          1          61762
34.24          1          61796
34.24          1          61831
34.24          1          61864
34.33          1          61899
34.58          1          61933
34.63          1          61968
34.72          1          62002
34.72          1          62036
34.72          1          62071
34.72          1          62105
34.72          1          62140
34.72          1          62174
34.72          1          62209
34.77          1          62242
35.02          1          62277
35.12          1          62311
35.16          1          62346
35.21          1          62380
35.21          1          62414
35.21          1          62448
35.21          1          62483
35.21          1          62517
35.21          1          62552
35.21          1          62585
35.21          1          62620
35.41          1          62654
35.70          1          62689
35.70          1          62723
35.70          1          62757
35.70          1          62791
35.70          1          62826
35.70          1          62860
35.70          1          62895
35.70          1          62928
35.75          1          62963
35.85          1          62997
35.75          1          63032
36.14          1          63066
36.19          1          63100
36.19          1          63134
36.19          1          63169
36.19          1          63204
36.19          1          63238
36.19          1          63272
36.19          1          63306
36.19          1          63341
36.24          1          63375
36.48          1          63410
36.53          1          63443
36.68          1          63478
36.68          1          63512
36.68          1          63547
36.68          1          63581
36.68          1          63616
36.68          1          63649
36.68          1          63684
36.78          1          63718
36.78          1          63753
36.83          1          63787
36.97          1          63821
37.12          1          63855
37.17          1          63890
37.17          1          63924
37.17          1          63959
37.17          1          63992
37.17          1          64027
37.17          1          64061
37.17          1          64096
37.17          1          64130
37.17          1          64164
37.27          1          64198
37.56          1          64233
37.61          1          64268
37.66          1          64302
37.66          1          64336
37.66          1          64370
37.66          1          64405
37.66          1          64439
37.66          1          64474
37.66          1          64507
37.71          1          64542
37.66          1          64576
37.80          1          64611
38.00          1          64645
38.10          1          64679
38.15          1          64713
38.15          1          64748
38.15          1          64782
38.15          1          64817
38.15          1          64850
38.15          1          64885
38.15          1          64919
38.15          1          64954
38.15          1          64988
38.29          1          65022
38.44          1          65056
38.54          1          65091
38.63          1          65125
38.63          1          65160
38.63          1          65193
38.63          1          65228
38.63          1          65262
38.63          1          65297
38.63          1          65331
38.63          1          65366
38.63          1          65400
38.68          1          65434
38.78          1          65469
38.88          1          65503
38.98          1          65538
39.03          1          65571
39.12          1          65606
39.12          1          65640
39.12          1          65675
39.12          1          65709
39.12          1          65743
39.12          1          65777
39.12          1          65812
39.17          1          65846
39.12          1          65881
39.32          1          65914
39.22          1          65949
39.51          1          65983
39.47          1          66018
39.61          1          66052
39.61          1          66086
39.61          1          66120
39.61          1          66155
39.61          1          66189
39.61          1          66224
39.61          1          66257
39.61          1          66292
39.61          1          66326
39.61          1          66361
39.76          1          66395
39.86          1          66429
39.95          1          66464
40.05          1          66498
40.10          1          66533
40.10          1          66567
40.10          1          66601
40.10          1          66635
40.10          1          66670
40.10          1          66704
40.10          1          66739
40.15          1          66772
40.15          1          66807
40.20          1          66841
40.10          1          66876
40.44          1          66910
40.39          1          66945
40.49          1          66978
40.59          1          67013
40.59          1          67047
40.59          1          67082
40.59          1          67116
40.59          1          67150
40.59          1          67184
40.59          1          67219
40.59          1          67253
40.59          1          67288
40.59          1          67321
40.83          1          67356
40.83          1          67390
40.83          1          67425
40.98          1          67459
41.08          1          67493
41.08          1          67527
41.08          1          67562
41.08          1          67597
41.08          1          67631
41.08          1          67665
41.08          1          67699
41.08          1          67734
41.08          1          67768
41.08          1          67803
41.18          1          67836
41.27          1          67871
41.47          1          67905
41.57          1          67940
41.57          1          67974
41.57          1          68008
41.57          1          68042
41.57          1          68077
41.57          1          68111
41.57          1          68146
41.57          1          68179
41.57          1          68214
41.57          1          68248
41.57          1          68283
41.57          1          68317
41.71          1          68352
41.81          1          68385
42.01          1          68420
42.06          1          68454
42.01          1          68489
42.06          1          68523
42.01          1          68557
42.06          1          68591
42.06          1          68626
42.06          1          68661
42.06          1          68695
42.06          1          68729
42.06          1          68763
42.06          1          68798
42.06          1          68832
42.20          1          68867
42.45          1          68900
42.45          1          68935
42.54          1          68969
42.54          1          69004
42.54          1          69038
42.54          1          69072
42.54          1          69106
42.54          1          69141
42.54          1          69175
42.54          1          69210
42.54          1          69243
42.54          1          69278
42.64          1          69312
42.59          1          69347
42.64          1          69381
42.79          1          69415
42.98          1          69449
43.03          1          69484
43.03          1          69518
43.03          1          69553
43.03          1          69586
43.03          1          69621
43.03          1          69655
43.03          1          69690
43.03          1          69724
43.03          1          69758
43.03          1          69793
43.03          1          69827
43.03          1          69862
43.08          1          69896
43.23          1          69931
43.28          1          69964
43.47          1          69999
43.52          1          70033
43.52          1          70068
43.52          1          70102
43.52          1          70136
43.52          1          70170
43.52          1          70205
43.52          1          70239
43.52          1          70274
43.52          1          70307
43.52          1          70342
43.52          1          70376
43.57          1          70411
43.62          1          70445
43.72          1          70479
44.01          1          70513
44.01          1          70548
43.96          1          70582
44.01          1          70617
44.01          1          70650
44.01          1          70685
44.01          1          70719
44.01          1          70754
44.01          1          70788
44.01          1          70822
44.01          1          70857
44.06          1          70891
44.01          1          70926
44.06          1          70960
44.16          1          70994
44.21          1          71028
44.40          1          71063
44.40          1          71097
44.50          1          71132
44.50          1          71165
44.50          1          71200
44.50          1          71234
44.50          1          71269
44.50          1          71303
44.50          1          71337
44.50          1          71371
44.50          1          71406
44.50          1          71440
44.50          1          71475
44.55          1          71508
44.55          1          71543
44.74          1          71577
44.84          1          71612
44.94          1          71646
44.94          1          71681
44.99          1          71714
44.99          1          71749
44.99          1          71783
44.99          1          71818
44.99          1          71852
44.99          1          71886
44.99          1          71920
44.99          1          71955
44.99          1          71990
44.99          1          72024
44.99          1          72058
45.04          1          72092
45.09          1          72127
45.28          1          72161
45.48          1          72196
45.48          1          72229
45.48          1          72264
45.48          1          72298
45.48          1          72333
45.48          1          72367
45.48          1          72401
45.48          1          72435
45.48          1          72470
45.48          1          72504
45.48          1          72539
45.48          1          72572
45.48          1          72607
45.48          1          72641
45.53          1          72676
45.67          1          72710
45.92          1          72744
45.87          1          72778
45.97          1          72813
45.97          1          72847
45.97          1          72882
45.97          1          72915
45.97          1          72950
45.97          1          72984
45.97          1          73019
45.97          1          73054
45.97          1          73088
45.97          1          73122
45.97          1          73156
45.97          1          73191
46.01          0          73225
45.97          0          73260
46.11          0          73293
46.11          0          73328
46.16          0          73362
46.26          0          73397
46.36          0          73431
46.45          0          73465
46.45          0          73499
46.45          0          73534
46.45          0          73568
46.45          0          73603
46.45          0          73636
46.45          0          73671
46.45          0          73705
46.45          0          73740
46.45          0          73774
46.45          0          73808
46.45          0          73842
46.45          0          73877
46.45          0          73911
46.45          0          73946
46.45          0          73979
46.45          0          74014
46.45          0          74048
46.45          0          74083
46.41          0          74117
46.45          0          74151
46.45          0          74186
46.36          0          74220
46.31          0          74255
46.26          0          74289
46.16          0          74323
46.21          0          74357
46.11          0          74392
46.06          0          74426
45.97          0          74461
45.97          0          74494
45.97          0          74529
45.97          0          74563
45.97          0          74598
45.97          0          74632
45.97          0          74667
45.97          0          74700
45.97          0          74735
45.97          0          74769
45.97          0          74804
45.97          0          74838
45.97          0          74872
45.97          0          74906
45.97          0          74941
45.97          0          74975
45.97          0          75010
45.97          0          75043
45.97          0          75078
45.87          0          75112
45.82          0          75147
45.92          0          75181
45.62          0          75215
45.62          0          75250
45.57          0          75284
45.57          0          75319
45.48          0          75353
45.53          0          75387
45.48          0          75421
45.48          0          75456
45.48          0          75490
45.48          0          75525
45.48          0          75558
45.48          0          75593
45.48          0          75627
45.48          0          75662
45.48          0          75696
45.48          0          75730
45.48          0          75764
45.48          0          75799
45.48          0          75833
45.48          0          75868
45.43          0          75901
45.43          0          75936
45.43          0          75970
45.18          0          76005
45.04          0          76039
45.13          0          76073
45.04          0          76107
44.99          1          76142
45.48          1          76176
45.09          1          76211
45.04          1          76244
44.99          1          76279
44.99          1          76313
44.99          1          76348
44.99          1          76383
45.04          1          76417
45.04          1          76451
44.99          1          76485
44.99          1          76520
44.99          1          76554
44.99          1          76589
44.99          1          76622
44.99          1          76657
44.99          1          76691
44.99          1          76726
44.99          1          76760
44.99          1          76794
44.99          1          76828
44.99          1          76863
44.99          1          76897
45.04          1          76932
44.99          1          76965
45.04          1          77000
45.04          1          77034
45.13          1          77069
45.23          1          77103
45.33          1          77137
45.43          1          77171
45.48          1          77206
45.48          1          77240
45.48          1          77275
45.48          1          77308
45.48          1          77343
45.48          1          77377
45.48          1          77412
45.48          1          77447
45.48          1          77480
45.48          1          77515
45.48          1          77549
45.48          1          77584
45.48          1          77618
45.53          1          77652
45.72          1          77686
45.97          1          77721
45.87          1          77755
45.92          1          77790
45.97          1          77824
45.97          1          77858
45.97          1          77892
45.97          1          77927
45.97          1          77961
45.97          1          77996
45.97          1          78029
45.97          1          78064
45.97          1          78098
45.97          1          78133
45.97          1          78167
46.01          0          78201
45.97          0          78235
46.11          0          78270
46.16          0          78304
46.36          0          78339
46.45          0          78372
46.45          0          78407
46.45          0          78441
46.45          0          78476
46.45          0          78510
46.45          0          78544
46.45          0          78579
46.45          0          78613
46.45          0          78648
46.45          0          78682
46.45          0          78716
46.41          0          78750
46.45          0          78785
46.45          0          78819
46.45          0          78854
46.45          0          78887
46.45          0          78922
46.45          0          78956
46.45          0          78991
46.45          0          79025
46.45          0          79059
46.45          0          79093
46.45          0          79128
46.45          0          79162
46.45          0          79197
46.45          0          79230
46.45          0          79265
46.45          0          79299
46.45          0          79334
46.45          0          79368
46.45          0          79403
46.45          0          79436
46.45          0          79471
46.41          0          79505
46.36          0          79540
46.21          0          79574
46.16          0          79608
46.11          0          79643
46.16          0          79677
46.01          0          79712
45.97          0          79746
46.01          0          79780
46.01          0          79814
45.97          0          79849
45.97          0          79883
45.97          0          79918
45.97          0          79951
45.97          0          79986
45.97          0          80020
45.97          0          80055
45.97          0          80089
45.97          0          80123
45.97          0          80157
45.97          0          80192
45.97          0          80226
45.97          0          80261
45.97          0          80294
45.97          0          80329
45.97          0          80363
45.97          0          80398
45.97          0          80432
45.97          0          80466
45.72          0          80500
45.82          0          80535
45.77          0          80569
45.62          0          80604
45.53          0          80637
45.48          0          80672
45.53          0          80706
45.48          0          80741
45.48          0          80776
45.48          0          80809
45.48          0          80844
45.48          0          80878
45.48          0          80913
45.48          0          80947
45.48          0          80982
45.48          0          81015
45.48          0          81050
45.48          0          81084
45.48          0          81119
45.48          0          81153
45.48          0          81187
45.48          0          81221
45.48          0          81256
45.48          0          81290
45.48          0          81325
45.48          0          81358
45.43          0          81393
45.33          0          81427
45.43          0          81462
45.28          0          81496
45.18          0          81530
45.18          0          81564
44.99          1          81599
45.53          1          81633
45.23          1          81668
45.04          1          81701
45.09          1          81736
44.99          1          81770
44.99          1          81805
44.99          1          81840
45.04          1          81873
44.99          1          81908
44.99          1          81942
44.99          1          81977
44.99          1          82011
44.99          1          82045
44.99          1          82079
44.99          1          82114
44.99          1          82148
44.99          1          82183
45.04          1          82216
44.99          1          82251
45.09          1          82285
45.09          1          82320
45.18          1          82354
45.33          1          82388
45.43          1          82422
45.38          1          82457
45.48          1          82491
45.48          1          82526
45.48          1          82560
45.48          1          82594
45.48          1          82628
45.48          1          82663
45.48          1          82697
45.48          1          82732
45.48          1          82765
45.48          1          82800
45.48          1          82834
45.48          1          82869
45.53          1          82903
45.57          1          82937
45.53          1          82972
45.87          1          83006
45.87          1          83041
45.97          1          83075
45.97          1          83109
45.97          1          83143
45.97          1          83178
45.97          1          83212
45.97          1          83247
45.97          1          83280
45.97          1          83315
45.97          1          83349
45.97          1          83384
45.97          1          83418
46.01          0          83452
46.06          0          83486
46.11          0          83521
46.16          0          83555
46.41          0          83590
46.45          0          83623
46.45          0          83658
46.45          0          83692
46.45          0          83727
46.45          0          83761
46.45          0          83795
46.45          0          83829
46.45          0          83864
46.45          0          83898
46.45          0          83933
46.45          0          83966
46.45          0          84001
46.45          0          84036
46.45          0          84070
46.45          0          84105
46.45          0          84139
46.45          0          84173
46.45          0          84207
46.45          0          84242
46.45          0          84276
46.45          0          84311
46.45          0          84344
46.45          0          84379
46.45          0          84413
46.45          0          84448
46.45          0          84482
46.45          0          84516
46.45          0          84550
46.45          0          84585
46.45          0          84619
46.45          0          84654
46.45          0          84687
46.45          0          84722
46.45          0          84756
46.45          0          84791
46.45          0          84825
46.41          0          84859
46.41          0          84893
46.45          0          84928
46.41          0          84962
46.26          0          84997
46.16          0          85030
46.06          0          85065
46.01          0          85099
45.97          0          85134
45.97          0          85169
46.01          0          85202
46.06          0          85237
45.97          0          85271
45.97          0          85306
45.97          0          85340
45.97          0          85374
45.97          0          85408
45.97          0          85443
45.97          0          85477
45.97          0          85512
45.97          0          85545
45.97          0          85580
45.97          0          85614
45.97          0          85649
45.97          0          85683
45.97          0          85718
45.97          0          85751
45.97          0          85786
45.92          0          85820
45.97          0          85855
45.97          0          85889
45.87          0          85923
45.87          0          85957
45.82          0          85992
45.77          0          86026
45.57          0          86061
45.57          0          86094
45.57          0          86129
45.57          0          86163
45.53          0          86198
45.48          0          86233
45.57          0          86266
45.48          0          86301
45.48          0          86335
45.48          0          86370
45.48          0          86404
45.48          0          86438
45.48          0          86472
45.48          0          86507
45.48          0          86541
45.48          0          86576
45.48          0          86609
45.48          0          86644
45.43          0          86678
45.48          0          86713
45.48          0          86747
45.43          0          86781
45.43          0          86815
45.48          0          86850
45.43          0          86884
45.38          0          86919
45.38          0          86952
45.48          0          86987
45.28          0          87021
45.33          0          87056
45.04          0          87090
45.04          0          87124
45.09          0          87158
44.99          1          87193
45.48          1          87227
45.13          1          87262
45.09          1          87296
44.99          1          87330
44.99          1          87365
44.99          1          87399
44.99          1          87434
44.99          1          87468
44.99          1          87502
44.99          1          87536
44.99          1          87571
44.99          1          87605
44.99          1          87640
44.99          1          87673
45.04          1          87708
44.99          1          87742
44.99          1          87777
44.99          1          87811
45.04          1          87845
45.04          1          87879
45.13          1          87914
45.18          1          87948
45.18          1          87983
45.28          1          88016
45.38          1          88051
45.48          1          88085
45.48          1          88120
45.48          1          88154
45.48          1          88188
45.48          1          88222
45.48          1          88257
45.48          1          88291
45.48          1          88326
45.48          1          88359
45.48          1          88394
45.48          1          88429
45.48          1          88463
45.57          1          88498
45.67          1          88531
45.77          1          88566
45.87          1          88600
45.97          1          88635
45.97          1          88669
45.97          1          88704
45.97          1          88737
45.97          1          88772
45.97          1          88806
45.97          1          88841
45.97          1          88875
45.97          1          88909
45.97          1          88943
46.01          0          88978
45.97          0          89012
46.06          0          89047
46.06          0          89080
46.26          0          89115
46.45          0          89149
46.45          0          89184
46.45          0          89218
46.45          0          89252
46.45          0          89286
46.45          0          89321
46.45          0          89355
46.45          0          89390
46.45          0          89423
46.45          0          89458
46.45          0          89492
46.45          0          89527
46.45          0          89562
46.45          0          89595
46.45          0          89630
46.45          0          89664
46.45          0          89699
46.45          0          89733
46.45          0          89767
46.45          0          89801
46.45          0          89836
46.45          0          89870
46.45          0          89905
46.45          0          89938
46.45          0          89973
46.45          0          90007
46.45          0          90042
46.45          0          90076
46.45          0          90110
46.45          0          90144
46.45          0          90179
46.45          0          90213
46.45          0          90248
46.45          0          90281
46.45          0          90316
46.45          0          90350
46.45          0          90385
