%tL is: 55.00
%tH is: 56.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
35.65          1          60081
36.19          1          60114
35.70          1          60149
35.70          1          60183
35.70          1          60218
35.70          1          60252
35.70          1          60286
35.60          1          60320
35.70          1          60355
35.70          1          60389
35.70          1          60424
35.70          1          60457
35.70          1          60492
35.70          1          60526
35.70          1          60561
35.70          1          60595
35.70          1          60630
35.70          1          60663
35.70          1          60698
35.70          1          60732
35.70          1          60767
35.70          1          60801
35.70          1          60835
35.70          1          60869
35.80          1          60904
35.85          1          60938
36.04          1          60973
36.09          1          61007
36.19          1          61041
36.19          1          61076
36.19          1          61110
36.19          1          61145
36.19          1          61178
36.19          1          61213
36.19          1          61247
36.19          1          61282
36.19          1          61316
36.34          1          61350
36.34          1          61384
36.63          1          61419
36.68          1          61453
36.68          1          61488
36.68          1          61521
36.68          1          61556
36.68          1          61590
36.68          1          61625
36.68          1          61659
36.73          1          61693
36.78          1          61727
36.92          1          61762
37.07          1          61796
37.12          1          61831
37.17          1          61864
37.17          1          61899
37.17          1          61933
37.17          1          61968
37.17          1          62002
37.17          1          62036
37.17          1          62071
37.27          1          62105
37.41          1          62140
37.61          1          62174
37.66          1          62209
37.66          1          62242
37.66          1          62277
37.66          1          62311
37.66          1          62346
37.66          1          62380
37.66          1          62414
37.66          1          62448
37.85          1          62483
38.00          1          62517
38.15          1          62552
38.15          1          62585
38.15          1          62620
38.15          1          62654
38.15          1          62689
38.15          1          62723
38.15          1          62757
38.15          1          62791
38.15          1          62826
38.29          1          62860
38.39          1          62895
38.49          1          62928
38.63          1          62963
38.63          1          62997
38.63          1          63032
38.63          1          63066
38.63          1          63100
38.63          1          63134
38.68          1          63169
38.63          1          63204
38.83          1          63238
38.83          1          63272
38.98          1          63306
39.03          1          63341
39.12          1          63375
39.12          1          63410
39.12          1          63443
39.12          1          63478
39.12          1          63512
39.12          1          63547
39.12          1          63581
39.12          1          63616
39.27          1          63649
39.32          1          63684
39.56          1          63718
39.56          1          63753
39.61          1          63787
39.61          1          63821
39.61          1          63855
39.61          1          63890
39.61          1          63924
39.61          1          63959
39.61          1          63992
39.61          1          64027
39.66          1          64061
39.71          1          64096
40.00          1          64130
40.10          1          64164
40.05          1          64198
40.10          1          64233
40.10          1          64268
40.10          1          64302
40.10          1          64336
40.10          1          64370
40.10          1          64405
40.10          1          64439
40.10          1          64474
40.10          1          64507
40.20          1          64542
40.35          1          64576
40.59          1          64611
40.59          1          64645
40.59          1          64679
40.59          1          64713
40.59          1          64748
40.59          1          64782
40.59          1          64817
40.59          1          64850
40.64          1          64885
40.59          1          64919
40.69          1          64954
40.78          1          64988
40.98          1          65022
41.03          1          65056
41.03          1          65091
41.08          1          65125
41.08          1          65160
41.08          1          65193
41.08          1          65228
41.08          1          65262
41.08          1          65297
41.08          1          65331
41.08          1          65366
41.22          1          65400
41.47          1          65434
41.42          1          65469
41.57          1          65503
41.57          1          65538
41.57          1          65571
41.57          1          65606
41.57          1          65640
41.57          1          65675
41.57          1          65709
41.57          1          65743
41.57          1          65777
41.62          1          65812
41.76          1          65846
41.71          1          65881
41.86          1          65914
42.06          1          65949
42.06          1          65983
42.06          1          66018
42.06          1          66052
42.06          1          66086
42.06          1          66120
42.06          1          66155
42.06          1          66189
42.06          1          66224
42.06          1          66257
42.10          1          66292
42.25          1          66326
42.30          1          66361
42.54          1          66395
42.50          1          66429
42.54          1          66464
42.54          1          66498
42.54          1          66533
42.54          1          66567
42.54          1          66601
42.54          1          66635
42.54          1          66670
42.54          1          66704
42.54          1          66739
42.54          1          66772
42.69          1          66807
42.84          1          66841
43.03          1          66876
42.94          1          66910
43.03          1          66945
43.03          1          66978
43.03          1          67013
43.03          1          67047
43.03          1          67082
43.03          1          67116
43.03          1          67150
43.03          1          67184
43.03          1          67219
43.08          1          67253
43.13          1          67288
43.33          1          67321
43.28          1          67356
43.47          1          67390
43.47          1          67425
43.52          1          67459
43.52          1          67493
43.52          1          67527
43.52          1          67562
43.52          1          67597
43.52          1          67631
43.52          1          67665
43.52          1          67699
43.62          1          67734
43.67          1          67768
43.67          1          67803
43.86          1          67836
44.01          1          67871
44.01          1          67905
43.96          1          67940
44.01          1          67974
44.01          1          68008
44.01          1          68042
44.01          1          68077
44.01          1          68111
44.01          1          68146
44.01          1          68179
44.01          1          68214
44.01          1          68248
44.06          1          68283
44.26          1          68317
44.35          1          68352
44.30          1          68385
44.50          1          68420
44.50          1          68454
44.50          1          68489
44.50          1          68523
44.50          1          68557
44.50          1          68591
44.50          1          68626
44.50          1          68661
44.50          1          68695
44.55          1          68729
44.55          1          68763
44.60          1          68798
44.70          1          68832
44.79          1          68867
44.99          1          68900
44.99          1          68935
44.99          1          68969
44.99          1          69004
44.99          1          69038
44.99          1          69072
44.99          1          69106
44.99          1          69141
44.99          1          69175
44.99          1          69210
44.99          1          69243
45.04          1          69278
45.09          1          69312
44.99          1          69347
45.23          1          69381
45.33          1          69415
45.48          1          69449
45.43          1          69484
45.48          1          69518
45.48          1          69553
45.48          1          69586
45.48          1          69621
45.48          1          69655
45.48          1          69690
45.48          1          69724
45.48          1          69758
45.53          1          69793
45.53          1          69827
45.53          1          69862
45.77          1          69896
45.82          1          69931
45.87          1          69964
45.92          1          69999
45.87          1          70033
45.97          1          70068
45.97          1          70102
45.97          1          70136
45.97          1          70170
45.97          1          70205
45.97          1          70239
45.97          1          70274
45.97          1          70307
45.97          1          70342
45.97          1          70376
46.06          1          70411
46.21          1          70445
46.21          1          70479
46.31          1          70513
46.36          1          70548
46.45          1          70582
46.45          1          70617
46.45          1          70650
46.45          1          70685
46.45          1          70719
46.45          1          70754
46.45          1          70788
46.45          1          70822
46.45          1          70857
46.45          1          70891
46.45          1          70926
46.45          1          70960
46.60          1          70994
46.70          1          71028
46.75          1          71063
46.85          1          71097
46.94          1          71132
46.89          1          71165
46.94          1          71200
46.94          1          71234
46.94          1          71269
46.94          1          71303
46.94          1          71337
46.94          1          71371
46.94          1          71406
46.94          1          71440
46.94          1          71475
46.94          1          71508
46.94          1          71543
46.99          1          71577
46.99          1          71612
47.29          1          71646
47.29          1          71681
47.38          1          71714
47.43          1          71749
47.43          1          71783
47.43          1          71818
47.43          1          71852
47.43          1          71886
47.43          1          71920
47.43          1          71955
47.43          1          71990
47.43          1          72024
47.43          1          72058
47.43          1          72092
47.48          1          72127
47.53          1          72161
47.48          1          72196
47.73          1          72229
47.87          1          72264
47.92          1          72298
47.82          1          72333
47.92          1          72367
47.92          1          72401
47.92          1          72435
47.92          1          72470
47.92          1          72504
47.92          1          72539
47.92          1          72572
47.92          1          72607
